,Make,OEM Number,MSG Article,Model,Motor,Manufacturer,In stock in RND department,Testing with MS005A,Cable for MS005A,"Voltage, v","Current, A",Protocol
52,SUZUKI,96160-74S00,,"VITARA (15-) 
SWIFT 5D",1.4 hybrid K14D Boosterjet,,1.0,No,,48.0,,
53,SUZUKI,"C3TA1591B
96150-73S02",,"Suzuki Ignis 15-
Suzuki Swift 17-
Suzuki Vitara 15-","1.4 Hybrid; 
1.2 Hybrid; 
1.4 Sport SHVS; 
1.4 Sport; 
1.2 Hybrid AllGrip",,,No,,,,
54,SUZUKI,"96100-81P40
C3TA1991",,Suzuki Ignis,1.2l,,1.0,No,,12.0,165.0,CAN?
55,,"96100-85P13
C2TA0291C",,Что-то внутрияпонское,,,1.0,No,,12.0,150.0,CAN?
56,"DODGE
JEEP",P05185076AB,,"Dodge Ram 19-
Jeep Wrangler 19-",,,,No,,,,
57,"JEEP
CITROEN
PEUGEOT",9859576280,,"Citroen C4 20-
Jeep Commander 21-
Peugeot 2008 19-","1.2 THP (PSA EB2ADTX) 
turbo l3",,,No,,48.0,,
58,JEEP,00463502050,,Jeep Compass 16-,,,,No,,355.0,,
59,JEEP,00501507820,,Jeep Compass 16-,,,,No,,355.0,,
60,MAZDA,C3TB5591,,Mazda CX-30 19-,,,,No,,48.0,,
61,MAZDA,C3TB5091B,,"MAZDA 3 IV BP
CX-30",2.0GDI 16V,,,No,,24.0,,
62,MAZDA,C3TB5291B,,,,,,,,24.0,130.0,
63,SUBARU,23700AB080,,Subaru Forester 18-,2.0MPI Hybrid 16V,,,No,,48.0,,
64,SUBARU,IST60C021,,"Subaru Forester 13-18
Subaru XV 11-17",2.0MPI 16V,,,Yes,,14.0,200.0,LIN1
65,NISSAN,"IST50S064
2740571A",,NISSAN QASHQAI III,"1,3 TCE Hybryd",,,No,,,,
66,NISSAN,CA851IR,,Что-то внутрияпонское,,,1.0,No,,12.0,,CAN?
67,VOLVO,"0127813035
36003710
31652870
32300720
32301041
32383087
36012933 ",,"Volvo S60 19-
Volvo S90 16-
Volvo V60 19-
Volvo V90 16-
Volvo XC40 16-
Volvo XC60 18-
Volvo XC90 15-","D420T8 Diesel Mild Hybri 2.0 B5
",,1.0,"Yes, Only in alternator mode",MS-33405,48.0,,
68,VOLVO,32137503,,Volvo XC40 16-,2.0EcoBoost 16V,,,"Yes, Only in alternator mode",MS-33405,48.0,,
69,VOLVO,0437507005,,Volvo V60 10-18,,,,,,,,
70,VOLVO,36050604,,,,,,,,,,
71,"HYUNDA
KIA","IBSG4U036
36300-2U000
363002U000",,"Hyundai Tucson 15-21
Kia XCEED 19-",1.6CRDI 16V,,,Yes,MS-33404,48.0,,
72,"HYUNDA
KIA","IBSG4U022
36300-2F000
363002F050 ",,"Hyundai Tucson 15-21
Kia Sportage 16-21",2.0CRDI 16V ,,1.0,Yes,MS-33404,48.0,,
73,KIA,"36300-07000
2726652",,"Kia RIO 17-
Kia Stonic 17-",1.0T-GDI 12V,,2.0,Yes,MS-33404,48.0,230.0,CAN
74,KIA,36300-08000,,,,,,Yes,MS-33404,48.0,230.0,CAN
75,KIA,3739003900,,Kia Niro (DE) 16-,,,,,,,,
76,KIA,"373902E900
N120312060",,,,,,,,,,
77,"HYUNDA
KIA",36300-2M410,,Hyundai Tucson 20-,,,1.0,Yes,MS-33404,48.0,,
78,BMW,"8490438
12318490432
12318490438
12318490538
12318661471
12319887029
12319889126
8490432",,"BMW 3 G20-21 19-
BMW 4 G22-26 20-
BMW 5 G30-38 16-
BMW 6 G32 17-
BMW X3 G01 17-
BMW X4 G02 18-",B47,BOSCH,,Yes,MS-33402,48.0,,CAN
79,BMW,"8490540
0127823038",,"BMW 4 G22-26 20-
BMW X5 G05 18-","2.0T-GDI 16V
3.0T-GDI 24V",BOSCH,,Yes,MS-33402,48.0,,CAN
80,BMW,"12318490440
8490440
12318490540",,,,BOSCH,,Yes,MS-33402,48.0,,CAN
81,BMW,"8490439
0127823034",,BMW G20 G05 G07 G11 G12 730 Mild-Hybrid,,BOSCH,,Yes,MS-33402,48.0,,CAN
82,"BMW
MINI","212000-0080
212000-0083",,"BMW 2 F45 14-
BMW i8 14-20
Mini Countryman F60 17-",,BOSCH,,"No, Not compatible",,,,
83,BMW,"8490438
0127823036",,,,BOSCH,1.0,Yes,MS-33402,48.0,,CAN
84,BMW,"849054004
127823051",,"BMW 6 G32 17-
BMW X3 G01 17-
BMW X4 G02 18-
BMW X5 G05 18-
BMW X6 G06 18-
BMW X7 G07 18-
BMW 5 G30-38 16-",,BOSCH,,Yes,MS-33402,48.0,,CAN
