Make,MSG SKU,OEM,Part number,Car,Cables and fittings,Protocol
TESLA,EVAC0027,"1501256-00
1501256-00-G
1501256-00-I
1501256-00-F
1501256-00-J
1501256-00-K","042400-1370
042400-1373
042400-1375
042400-1376","TESLA Model Y 2019, 2020, 2021, 2022, 2023, 2024, 2025","MS-31013 (13H)
MS-30013 (13D)
MS41016-HP
MS41015-LP
  
Tools:
MS40006",CAN
KIA/ HYUNDAI,EVAC0040,97701-4U000,"F502-TFBBA-06
 F502-TFBCA-03","Kia Optima hybrid 2012, 2013, 2014, 2015, 2016 
Kia Sonata 2012, 2013, 2014, 2015","MS-31008 (8H)
MS-30012 (12D)
MS41048-HP
MS41008-LP
  
",CAN
KIA/ HYUNDAI,EVAC0033,97701-E6100,"F502-FJDAA-02
 F502-FJDAA-04",,"MS-31008 (8H)
MS-30012 (12D)
MS41048-HP
MS41008-LP
  
",CAN
KIA/ HYUNDAI,,97701-E6000,"CA600LFEBA04
CA600LFECA01","HYUNDAI Sonata [2016, 2017, 2018, 2019] Hybrid
KIA Optima [2017, 2018, 2019, 2020]","MS-31008 (8H)
MS-30012 (12D)
MS41048-HP
MS41008-LP
  
",CAN
KIA/ HYUNDAI,,97701-E6110,CA600LFFBA-02,"Optima, Sonata PHEV [2017, 2018, 2019, 2020]",,CAN
KIA/ HYUNDAI,,,"F502TLFAA
F502TLFAA01
F502TLFAA02","KIA OPTIMA 2.0 GDI Hybrid 09.[2016, 2017]","MS-31008 (8H)
MS-30012 (12D)
MS41048-HP
MS41008-LP
 
",CAN
KIA/ HYUNDAI,EVAC0032,97701-G2000,"F502-CWFAA
F502-CWFAA-01
F502-CWFAA-03
F502-CWFAA-04
CA600CWFAA12","HYUNDAI IONIQ 1.6L 202016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, 2025","MS-31009 (9H)
MS-30012 (12D)
MS41048-HP
MS41008-LP",CAN
KIA/ HYUNDAI,EVAC0042,2017120455B,"F502-NDGAA-03
F502NDGAA03","KIA NIRO, IONIC 1.6 Hybrid","MS-31009 (9H)
MS-30012 (12D)
MS41048-HP
MS41008-LP
  
",CAN
KIA/ HYUNDAI,EVAC0043,97701G2800,CA600CDPAA04,"KIA CEED 1.6 PLUG-IN HYBRID 202018, 2019, 2020, 2021, 2022, 2023, 2024, 2025 ","MS-31009 (9H)
MS-30012 (12D)
MS41048-HP
MS41008-LP
  
  
",CAN
KIA/ HYUNDAI,EVAC0077,,CA600NDHAA02,"KIA NIRO 202019, 2020, 2021 PLUG-IN","MS-31009 (9H)
MS-30012 (12D)
MS41048-HP
MS41008-LP",CAN
